Problem Name,Topic,Pattern,LeetCode Link,GFG Link
Largest Element in an Array,Arrays,Array Basics,https://leetcode.com/problems/largest-number/,https://www.geeksforgeeks.org/problems/largest-element-in-array4002/1
Second Largest Element,Arrays,Array Basics,https://leetcode.com/problems/second-largest-digit-in-a-string/,https://www.geeksforgeeks.org/problems/second-largest3735/1
Check if Array is Sorted,Arrays,Array Basics,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,https://www.geeksforgeeks.org/problems/check-if-an-array-is-sorted0701/1
Remove Duplicates from Sorted Array,Arrays,Two Pointers,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,https://www.geeksforgeeks.org/problems/remove-duplicate-elements-from-sorted-array/1
Left Rotate an Array by One,Arrays,Array Basics,,https://www.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one2614/1
Left Rotate an Array by D Places,Arrays,Array Basics,https://leetcode.com/problems/rotate-array/,
Move Zeroes to End,Arrays,Two Pointers,https://leetcode.com/problems/move-zeroes/,
Linear Search,Arrays,Array Basics,,https://www.geeksforgeeks.org/problems/search-an-element-in-an-array-1587115621/1
Union of Two Sorted Arrays,Arrays,Two Pointers,,https://www.geeksforgeeks.org/problems/union-of-two-arrays3538/1
Intersection of Two Sorted Arrays,Arrays,Two Pointers,https://leetcode.com/problems/intersection-of-two-arrays/,
Find Missing Number in Array,Arrays,Math,https://leetcode.com/problems/missing-number/,https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1
Maximum Consecutive Ones,Arrays,Sliding Window,https://leetcode.com/problems/max-consecutive-ones/,
Find the Number that Appears Once (Single Number),Arrays,Bit Manipulation,https://leetcode.com/problems/single-number/,
Longest Subarray with Sum K (Positives),Arrays,Sliding Window / Prefix Sum,,https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1
Longest Subarray with Sum K (Positives + Negatives),Arrays,Prefix Sum / Hashing,,https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1
2Sum Problem,Arrays,Hashing / Two Pointers,https://leetcode.com/problems/two-sum/,
Sort an Array of 0s 1s and 2s,Arrays,Three Pointers,https://leetcode.com/problems/sort-colors/,
Majority Element (>n/2 times),Arrays,Moore's Voting,https://leetcode.com/problems/majority-element/,
Majority Element II (>n/3 times),Arrays,Extended Moore's Voting,https://leetcode.com/problems/majority-element-ii/,
Maximum Subarray Sum (Kadane's Algo),Arrays,Dynamic Programming / Kadane,https://leetcode.com/problems/maximum-subarray/,
Best Time to Buy and Sell Stock,Arrays,Array / DP,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
Rearrange Array Elements by Sign,Arrays,Two Pointers,https://leetcode.com/problems/rearrange-array-elements-by-sign/,
Next Permutation,Arrays,Array Mathematics,https://leetcode.com/problems/next-permutation/,
Leaders in an Array,Arrays,Array Traversal,,https://www.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1
Longest Consecutive Sequence,Arrays,Hashing,https://leetcode.com/problems/longest-consecutive-sequence/,
Set Matrix Zeroes,Arrays,Matrix,https://leetcode.com/problems/set-matrix-zeroes/,
Rotate Matrix by 90 Degrees,Arrays,Matrix,https://leetcode.com/problems/rotate-image/,
Spiral Matrix,Arrays,Matrix Simulation,https://leetcode.com/problems/spiral-matrix/,
Count Subarrays with Given Sum,Arrays,Prefix Sum / Hashing,https://leetcode.com/problems/subarray-sum-equals-k/,
Pascal's Triangle,Arrays,DP / Combinatorics,https://leetcode.com/problems/pascals-triangle/,
Majority Element (N/3),Arrays,Moore's Voting,,https://www.geeksforgeeks.org/problems/majority-element-ii/1
3Sum Problem,Arrays,Two Pointers / Sorting,https://leetcode.com/problems/3sum/,
4Sum Problem,Arrays,Two Pointers / Sorting,https://leetcode.com/problems/4sum/,
Subarray with 0 sum,Arrays,Prefix Sum / Hashing,,https://www.geeksforgeeks.org/problems/subarray-with-0-sum-1587115621/1
Merge Overlapping Intervals,Arrays,Sorting / Intervals,https://leetcode.com/problems/merge-intervals/,
Count Inversions,Arrays,Divide and Conquer (Merge Sort),,https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1
Reverse Pairs,Arrays,Divide and Conquer (Merge Sort),https://leetcode.com/problems/reverse-pairs/,
Maximum Product Subarray,Arrays,Kadane's Variation,https://leetcode.com/problems/maximum-product-subarray/,
Binary Search on 1D Array,Binary Search,BS Fundamentals,https://leetcode.com/problems/binary-search/,
Floor and Ceil in Sorted Array,Binary Search,BS on Array,,https://www.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1
First and Last Position of Element,Binary Search,BS on Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,
Search in Rotated Sorted Array I,Binary Search,BS on Rotated Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,
Search in Rotated Sorted Array II,Binary Search,BS on Rotated Array,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,
Find Minimum in Rotated Sorted Array,Binary Search,BS on Rotated Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
Find Peak Element,Binary Search,BS on Unsorted Array,https://leetcode.com/problems/find-peak-element/,
Square Root of a Number,Binary Search,BS on Answer,https://leetcode.com/problems/sqrtx/,
